"","X.55.","X.median.","X.xgb.","X.NaN.","X.0.612903225806452.","X.0.0382757186889648."
"1","55","median","xgb","NaN","0.612903225806452","0.0382757186889648"
"2","55","median","log_reg","0.125","0.548387096774194","0.0382757186889648"
"3","55","median","svm","0.235294117647059","0.580645161290323","0.0382757186889648"
"4","55","median","rf","0.125","0.548387096774194","0.0382757186889648"
"5","55","irmi","xgb","0.285714285714286","0.516129032258065","5.38716769218445"
"6","55","irmi","log_reg","0.111111111111111","0.483870967741935","5.38716769218445"
"7","55","irmi","svm","0.133333333333333","0.580645161290323","5.38716769218445"
"8","55","irmi","rf","0.111111111111111","0.483870967741935","5.38716769218445"
"9","55","mice","xgb","0.117647058823529","0.516129032258065","0.203176259994507"
"10","55","mice","log_reg","0.125","0.548387096774194","0.203176259994507"
"11","55","mice","svm","0.133333333333333","0.580645161290323","0.203176259994507"
"12","55","mice","rf","0.133333333333333","0.580645161290323","0.203176259994507"
"13","55","softImpute","xgb","0.125","0.548387096774194","0.0655803680419922"
"14","55","softImpute","log_reg","0.125","0.548387096774194","0.0655803680419922"
"15","55","softImpute","svm","NaN","0.580645161290323","0.0655803680419922"
"16","55","softImpute","rf","0.133333333333333","0.580645161290323","0.0655803680419922"
