1018,missForest,xgb,0.0517241379310345,0.937817976257773
1018,missForest,log_reg,0.036036036036036,0.939513849632561
1018,missForest,svm,0.018348623853211,0.939513849632561
1018,missForest,rf,0.018348623853211,0.939513849632561
1590,missForest,xgb,0.905655510414651,0.850240556863548
1590,missForest,log_reg,0.900398910909897,0.838980448357048
1590,missForest,svm,0.905752753977968,0.850240556863548
1590,missForest,rf,0.911507293354943,0.860272289896612
188,missForest,xgb,0.794871794871795,0.783783783783784
188,missForest,log_reg,0.879518072289157,0.864864864864865
188,missForest,svm,0.904458598726115,0.898648648648649
188,missForest,rf,0.902439024390244,0.891891891891892
23381,missForest,xgb,0.666666666666667,0.58
23381,missForest,log_reg,0.720588235294118,0.62
23381,missForest,svm,0.727272727272727,0.61
23381,missForest,rf,0.744186046511628,0.67
27,missForest,xgb,0.739130434782609,0.837837837837838
27,missForest,log_reg,0.765957446808511,0.851351351351351
27,missForest,svm,0.790697674418605,0.878378378378378
27,missForest,rf,0.790697674418605,0.878378378378378
29,missForest,xgb,0.819444444444445,0.811594202898551
29,missForest,log_reg,0.901408450704225,0.898550724637681
29,missForest,svm,0.870229007633588,0.876811594202899
29,missForest,rf,0.917808219178082,0.91304347826087
38,missForest,xgb,0.988668555240793,0.978807947019868
38,missForest,log_reg,0.969571230982019,0.941721854304636
38,missForest,svm,0.968944099378882,0.940397350993378
38,missForest,rf,0.991501416430595,0.984105960264901
4,missForest,xgb,NaN,0.75
4,missForest,log_reg,0.75,0.833333333333333
4,missForest,svm,1,1
4,missForest,rf,0.5,0.833333333333333
40536,missForest,xgb,1,1
40536,missForest,log_reg,1,1
40536,missForest,svm,1,1
40536,missForest,rf,0.997148966500356,0.995226730310263
55,missForest,xgb,0.333333333333333,0.870967741935484
55,missForest,log_reg,0.5,0.870967741935484
55,missForest,svm,0.571428571428572,0.903225806451613
55,missForest,rf,0.5,0.870967741935484
56,missForest,xgb,0.927835051546392,0.919540229885057
56,missForest,log_reg,0.95049504950495,0.942528735632184
56,missForest,svm,0.980392156862745,0.977011494252874
56,missForest,rf,0.97029702970297,0.96551724137931
6332,missForest,xgb,0.595238095238095,0.685185185185185
6332,missForest,log_reg,0.526315789473684,0.666666666666667
6332,missForest,svm,0.701298701298701,0.787037037037037
6332,missForest,rf,0.794871794871795,0.851851851851852
944,missForest,xgb,0.692307692307692,0.692307692307692
944,missForest,log_reg,0.774193548387097,0.730769230769231
944,missForest,svm,0.8125,0.769230769230769
944,missForest,rf,0.8,0.769230769230769
