"","Dataset","Method","Score"
"1","1018","median","0.939513849632561"
"2","1018","irmi","0.938383267382702"
"3","1018","mice","0.939513849632561"
"4","1018","forest","0.938383267382702"
"5","1590","median","0.840823011567202"
"6","1590","irmi","0.840823011567202"
"7","1590","mice","0.840823011567202"
"8","1590","forest","0.840823011567202"
"9","1590","mda","0.840823011567202"
"10","188","median","0.77027027027027"
"11","188","irmi","0.878378378378378"
"12","188","mice","0.837837837837838"
"13","188","forest","0.864864864864865"
"14","188","mda","0.871621621621622"
"15","23381","median","0.66"
"16","23381","irmi","0.62"
"17","23381","mice","0.63"
"18","23381","forest","0.57"
"19","23381","mda","0.61"
"20","38","median","0.982781456953642"
"21","38","irmi","0.981456953642384"
"22","38","mice","0.982781456953642"
"23","38","forest","0.984105960264901"
"24","55","median","0.806451612903226"
"25","55","irmi","0.774193548387097"
"26","55","mice","0.903225806451613"
"27","55","forest","0.870967741935484"
"28","55","mda","0.870967741935484"
"29","56","median","0.96551724137931"
"30","56","irmi","0.96551724137931"
"31","56","mice","0.977011494252874"
"32","56","forest","0.96551724137931"
"33","6332","median","0.722222222222222"
"34","6332","irmi","0.722222222222222"
"35","6332","mice","0.722222222222222"
"36","6332","forest","0.722222222222222"
"37","6332","mda","0.703703703703704"
"38","944","median","0.692307692307692"
"39","944","irmi","0.692307692307692"
"40","944","mice","0.692307692307692"
"41","944","forest","0.692307692307692"
"42","944","mda","0.538461538461538"
